"cod_isco6","Parent","txt_isco_de","txt_isco_en","txt_isco_fr","txt_isco_it","txt_isco_rm"
23211009,71263,"Gasleitungsinstallateur | Gasleitungsinstallateurin","","Installateur de conduites de gaz | Installatrice de conduites de gaz","Installatore di condutture del gas | Installatrice di condutture del gas",""
23211010,71263,"Wassermonteur | Wassermonteurin","","Monteur de conduites d'eau | Monteuse de conduites d'eau","Montatore idraulico | Montatrice idraulica",""
23211011,71263,"Gasinstallateur | Gasinstallateurin","Gas fitter","Installateur de gaz | Installatrice de gaz","Installatore d'impianti a gas | Installatrice d'impianti a gas",""
23211012,71263,"Installateur für Gas und Wasser | Installateurin für Gas und Wasser","","Installateur gaz et eau | Installatrice gaz et eau","Installatore idraulico e gassista | Installatrice idraulica e gassista",""
23211013,71263,"Spülmaschinenmonteur | Spülmaschinenmonteurin","","Monteur de machines de lave-vaisselle | Monteuse de machines de lave-vaisselle","Montatore di macchine lavastoviglie | Montatrice di macchine lavastoviglie",""
23211014,71262,"Rohrmonteur | Rohrmonteurin","","Monteur de tuyaux | Monteuse de tuyaux","Montatore di tubi | Montatrice di tubi",""
23211015,71263,"Sanitärmonteur | Sanitärmonteurin","","Monteur sanitaire | Monteuse sanitaire","Montatore d'impianti sanitari | Montatrice d'impianti sanitari","Montader sanitar | Montadra sanitara"
23211016,71263,"Wasserinstallateur | Wasserinstallateurin","Water installer","Installateur eau, plombier | Installatrice eau, plombière","Installatore idraulico | Installatrice idraulica",""
23211017,71262,"Rohrlegemonteur | Rohrlegemonteurin","","Monteur-poseur de tuyaux | Monteuse-poseuse de tuyaux","Montatore posatore di tubi | Montatrice posatrice di tubi",""
23211018,71263,"Sanitärreparateur | Sanitärreparateurin","","Réparateur d'installations sanitaires | Réparatrice d'installations sanitaires","Riparatore d'impianti sanitari | Riparatrice d'impianti sanitari",""
23211019,13232,"Sanitärleiter | Sanitärleiterin","","Chef des services sanitaires | Cheffe des services sanitaires","Capo impianti sanitari",""
23211020,71263,"Sanitärinstallationsarbeiter | Sanitärinstallationsarbeiterin","Sanitary installations worker","Ouvrier en installations sanitaires | Ouvrière en installations sanitaires","Installatore sanitario | Installatrice sanitaria",""
23211021,71263,"Wasser- und Gasangestellter | Wasser- und Gasangestellte","","Employé au service eau et gaz | Employée au service eau et gaz","Impiegato servizio acqua e gas | Impiegata servizio acqua e gas",""
23211022,31232,"Sanitärchefinstallateur | Sanitärchefinstallateurin","","Chef installateur sanitaire | Cheffe installatrice sanitaire","Capoinstallatore di impianti sanitari | Capoinstallatrice di impianti sanitari",""
23211023,31232,"Sanitärvorarbeiter | Sanitärvorarbeiterin","","Contremaître, service sanitaire | Contremaîtresse, service sanitaire","Caposquadra installazioni sanitarie",""
23211024,71263,"Sanitärinstallateur, dipl. HFP | Sanitärinstallateurin, dipl. HFP","","Installateur sanitaire, dipl. EPS | Installatrice sanitaire, dipl. EPS","Installatore sanitario, dipl. EPS | Installatrice sanitaria, dipl. EPS",""
23211025,31122,"Sanitärtechniker | Sanitärtechnikerin","Sanitation technician","Technicien en sanitaires | Technicienne en sanitaires","Tecnico sanitario | Tecnica sanitaria","Tecnicist sanitar | Tecnicista sanitara"
23211026,31122,"Sanitärinstallationstechniker | Sanitärinstallationstechnikerin","Sanitary installation technician","Technicien d'installations sanitaires | Technicienne d'installations sanitaires","Tecnico sanitario | Tecnica sanitaria",""
23211027,71263,"Bauklempner | Bauklempnerin","","Plombier dans le bâtiment | Plombière dans le bâtiment","Stagnino edile | Stagnina edile",""
23211028,71263,"Sanitärberater | Sanitärberaterin","Sanitary consultant","Conseiller en sanitaire | Conseillère en sanitaire","Consulente in impiantistica (impianti sanitari)",""
23211029,71263,"Klempner | Klempnerin","","Plombier | Plombière","Stagnino | Stagnina",""
23211030,31232,"Rohrnetzmeister | Rohrnetzmeisterin","","Chef au service de tuyauterie | Cheffe au service de tuyauterie","Capo rete tubazioni acqua",""
23211031,71263,"Entkalker | Entkalkerin","","Détartreur | Détartrice","Decalcificatore | Decalcificatrice",""
23211032,31232,"Sanitärchefinstallateur | Sanitärchefinstallateurin","","Chef appareilleur en installations sanitaires | Cheffe appareilleuse en installations sanitaires","Capoinstallatore sanitario | Capoinstallatrice sanitaria",""
23211033,71263,"Bauflaschner | Bauflaschnerin","","Plombier | Plombière","Stagnaio | Stagnaia",""
23211034,71263,"Flaschner | Flaschnerin","","Plombier | Plombière","Montatore-installatore idraulico | Montatrice-installatrice idraulico",""
23211035,71263,"Wasseranlagemonteur | Wasseranlagemonteurin","","Monteur de conduites d'eau | Monteuse de conduites d'eau","Montatore di impianti idraulici | Montatrice di impianti idraulici",""
23211036,71262,"Rohrleitungsmonteur | Rohrleitungsmonteurin","","Monteur de tuyaux | Monteuse de tuyaux","Montatore posatore di tubi | Montatrice posatrice di tubi",""
23211037,71263,"Haustechnikinstallateur (Sanitär) | Haustechnikinstallateurin (Sanitär)","","Installateur technique sanitaire | Installatrice technique sanitaire","Installatore tecnica di impianti sanitari | Installatrice tecnica di impianti sanitari",""
23211038,31183,"Sanitärplaner | Sanitärplanerin","","Projeteur d'installations sanitaires | Projeteuse d'installations sanitaires","Progettista sanitario | Progettista sanitaria",""
23211039,31183,"Haustechnikplaner, dipl. HFP (Sanitär) | Haustechnikplanerin, dipl. HFP (Sanitär)","","Projeteur en technique du bâtiment, dipl. EPS (sanitaire) | Projeteuse en technique du bâtiment, dipl. EPS (sanitaire)","Progettista nella tecnica degli impianti, dipl. EPS (sanitari)",""
23211040,71263,"Haustechnikinstallateur, dipl. HFP (Sanitär) | Haustechnikinstallateurin, dipl. HFP (Sanitär)","","Installateur en technique du bâtiment, dipl. EPS (sanitaire) | Installatrice en technique du bâtiment, dipl. EPS (sanitaire)","Installatore nella tecnica degli impianti, dipl. EPS (sanitari) | Installatrice nella tecnica degli impianti, dipl. EPS (sanitari)",""
23211041,71263,"Sprinklermonteur | Sprinklermonteurin","","Monteur d'installations d'arrosage | Monteuse d'installations d'arrosage","Montatore d'impianti d'irrorazione | Montatrice d'impianti d'irrorazione",""
23211042,31232,"Chefmonteur Sanitär, eidg. FA | Chefmonteurin Sanitär, eidg. FA","","Contremaître sanitaire, brev. féd. EP | Contremaîtresse sanitaire, brev. féd. EP","Capo montatore di impianti sanitari APF | Capo montatrice di impianti sanitari APF",""
23211043,31232,"Chefmonteur Sanitär | Chefmonteurin Sanitär","","Contremaître sanitaire | Contremaîtresse sanitaire","Capomontatore d'impianti sanitari | Capomontatrice d'impianti sanitari",""
23211044,71263,"Badewannenreparateur | Badewannenreparateurin","","Réparateur de baignoires | Réparatrice de baignoires","Riparatore di vasche da bagno | Riparatrice di vasche da bagno",""
23211045,71263,"Badewannenmonteur | Badewannenmonteurin","","Monteur de baignoires | Monteuse de baignoires","Montatore di vasche da bagno | Montatrice di vasche da bagno",""
23211046,71263,"Sanitärinstallateur EFZ | Sanitärinstallateurin EFZ","","Installateur sanitaire CFC | Installatrice sanitaire CFC","Installatore di impianti sanitari AFC | Installatrice di impianti sanitari AFC",""
23211047,13232,"Sanitärmeister, dipl. HFP | Sanitärmeisterin, dipl. HFP","","Maître sanitaire, dipl. EPS","Maestro in impianti sanitari, dipl. EPS | Maestra in impianti sanitari, dipl. EPS",""
23211048,31183,"Sanitärplaner, dipl. HFP | Sanitärplanerin, dipl. HFP","","Projeteur en sanitaire, dipl. EPS | Projeteuse en sanitaire, dipl. EPS","Progettista in impianti sanitari, dipl. EPS",""
23212001,71100,"Bauhandwerker | Bauhandwerkerin","Building trade worker","Artisan du bâtiment | Artisane du bâtiment","Artigiano edile | Artigiana edile",""
23212002,71260,"Haustechniker | Haustechnikerin","In-house technician","Technicien de service interne | Technicienne de service interne","Tecnico del servizio riparazioni (impianti sanitari e riscaldamenti) | Tecnica del servizio riparazioni (impianti sanitari e riscaldamenti)",""
23212003,71153,"Storenmonteur | Storenmonteurin","Blind fitter","Monteur de stores | Monteuse de stores","Montatore di tende avvolgibili | Montatrice di tende avvolgibili",""
23212004,71153,"Storen- und Rollladenmonteur | Storen- und Rollladenmonteurin","Blind and roller blind fitter","Monteur de stores et de volets roulants | Monteuse de stores et de volets roulants","Montatore di tende e persiane avvolgibili | Montatrice di tende e persiane avvolgibili",""
23212005,71153,"Einbaumonteur | Einbaumonteurin","","Monteur d'aménagements | Monteuse d'aménagements","Montatore di apparecchiature | Montatrice di apparecchiature",""
23212006,71190,"Bauaustrockner | Bauaustrocknerin","","Sécheur de bâtiments | Sécheuse de bâtiments","Asciugatore edile | Asciugatrice edile",""
23212007,71190,"Asbestsanierer | Asbestsaniererin","","Assainisseur en amiante | Assainisseuse en amiante","Risanatore in amianto | Risanatrice in amianto",""
23212008,71210,"Deckenmonteur | Deckenmonteurin","Ceiling fitter","Monteur de plafonds | Monteuse de plafonds","Montatore di soffitti | Montatrice di soffitti",""
23212009,81220,"Korrosionsschutzarbeiter | Korrosionsschutzarbeiterin","","Ouvrier à la protection contre la corrosion | Ouvrière à la protection contre la corrosion","Operaio addetto alla protezione anticorrosiva | Operaia addetta alla protezione anticorrosiva",""
23212010,81220,"Korrosionsschutzfachmann | Korrosionsschutzfachfrau","","Spécialiste contre la corrosion","Specialista in protezione anticorrosiva",""
23212011,72140,"Zaunmonteur | Zaunmonteurin","","Poseur de clôtures | Poseuse de clôtures","Montatore di cinte | Montatrice di cinte",""
23212012,71153,"Rollladenmonteur | Rollladenmonteurin","Roller blind fitter","Monteur de stores à rouleau | Monteuse de stores à rouleau","Montatore di avvolgibili | Montatrice di avvolgibili",""
23212013,71153,"Fenstermonteur | Fenstermonteurin","Window fitter","Monteur de fenêtres | Monteuse de fenêtres","Montatore di finestre | Montatrice di finestre",""
23212014,71241,"Beschallungsanlageninstallateur | Beschallungsanlageninstallateurin","","Monteur d'installations d'acoustiques | Monteuse d'installations d'acoustiques","Montatore di installazioni di insonorizzazione | Montatrice di installazioni di insonorizzazione",""
23212015,71210,"Deckenmacher | Deckenmacherin","","Constructeur de plafonds | Constructrice de plafonds","Costruttore di soffitti | Costruttrice di soffitti",""
23212016,71190,"Briefkastenmonteur | Briefkastenmonteurin","","Monteur de boîtes aux lettres | Monteuse de boîtes aux lettres","Montatore di bucalettere | Montatrice di bucalettere",""
23212017,71250,"Fenster- und Türenbauer, Aluminium/Kunststoff | Fenster- und Türenbauerin, Aluminium/Kunststoff","","Fabricant de fenêtres et portes, aluminium et synthétique | Fabricante de fenêtres et portes, aluminium et synthétique","Serramentista, alluminio e materiali sintetici",""
23212018,71190,"Treibhauskonstrukteur | Treibhauskonstrukteurin","","Constructeur de serre | Constructrice de serre","Costruttore di serre | Costruttrice di serre",""
23212019,71330,"Fassadenputzer | Fassadenputzerin","","Nettoyeur de façades | Nettoyeuse de façades","Pulitore di facciate | Pulitrice di facciate",""
23212020,71200,"Betriebsinstallateur | Betriebsinstallateurin","","Installateur d'exploitation | Installatrice d'exploitation","Installatore aziendale | Installatrice aziendale",""
23212021,31232,"Installateurvorarbeiter | Installateurvorarbeiterin","","Installateur, chef d'équipe | Installatrice, cheffe d'équipe","Capogruppo installatori",""
23212022,71200,"Installateur | Installateurin","","Installateur | Installatrice","Installatore | Installatrice",""
23212023,31220,"Installationschef | Installationschefin","","Chef de réseau | Cheffe de réseau","Capoinstallatore | Capoinstallatrice",""
23212024,93132,"Installateurgehilfe | Installateurgehilfin","","Aide-installateur | Aide-installatrice","Aiuto installatore | Aiuto installatrice",""
23212025,71153,"Storenmacher | Storenmacherin","Blinds manufacturer","Storiste","Fabbricante di tende avvolgibili",""
23212026,72140,"Rollladenreparateur | Rollladenreparateurin","Roller blind repairman | Roller blind repairwoman","Réparateur de volets à rouleau | Réparatrice de volets à rouleau","Riparatore di tende avvolgibili | Riparatrice di tende avvolgibili",""
23212027,71241,"Fassadenspezialist | Fassadenspezialistin","Facade specialist","Spécialiste en façades","Specialista in facciate",""
23212028,31190,"Installationsanlageprüfer | Installationsanlageprüferin","","Contrôleur d'installations | Contrôleuse d'installations","Collaudatore di impianti | Collaudatrice di impianti",""
23212029,71153,"Storenmonteur | Storenmonteurin","","Storiste","Montatore di avvolgibili | Montatrice di avvolgibili",""
23212030,71210,"Deckenmonteur, eidg. FA | Deckenmonteurin, eidg. FA","","Monteur de faux plafonds, brev. féd. EP | Monteuse de faux plafonds, brev. féd. EP","Installatore di soffitti ribassati APF | Installatrice di soffitti ribassati APF",""
23212031,93290,"Harzausrüster | Harzausrüsterin","","Ouvrier employé aux revêtements en résine époxy | Ouvrière employée aux revêtements en résine époxy","Operaio addetto ai rivestimenti in resina epossidica | Operaia addetta ai rivestimenti in resina epossidica",""
23212032,71210,"Deckenmonteur | Deckenmonteurin","Ceiling fitter","Monteur de faux plafonds | Monteuse de faux plafonds","Installatore di soffitti ribassati | Installatrice di soffitti ribassati",""
23212033,93132,"Deckenverkleider | Deckenverkleiderin","","Ouvrier au revêtement des plafonds | Ouvrière au revêtement des plafonds","Addetto ai rivestimenti di soffitti | Addetta ai rivestimenti di soffitti",""
23212034,93132,"Fassadenarbeiter | Fassadenarbeiterin","Facade worker","Ouvrier en façades | Ouvrière en façades","Operaio su facciate | Operaia su facciate",""
23212035,71190,"Renovierer | Renoviererin","Renovator","Rénovateur | Rénovatrice","Rinnovatore | Rinnovatrice",""
23212036,71153,"Trennwandmonteur | Trennwandmonteurin","Partition fitter","Monteur de cloisons | Monteuse de cloisons","Montatore di pareti divisorie | Montatrice di pareti divisorie",""
23212037,71190,"Wintergartenbauer | Wintergartenbauerin","Conservatory builder","Constructeur de jardins d'hiver | Constructrice de jardins d'hiver","Costruttore di giardini d'inverno | Costruttrice di giardini d'inverno",""
23212038,71190,"Wintergartenmonteur | Wintergartenmonteurin","Conservatory fitter","Monteur de jardins d'hiver | Monteuse de jardins d'hiver","Montatore di giardini d'inverno | Montatrice di giardini d'inverno",""
23212039,71260,"Hausinstallationskontrolleur | Hausinstallationskontrolleurin","","Contrôleur d'installations du bâtiment | Contrôleuse d'installations du bâtiment","Verificatore degli impianti di casa | Verificatrice degli impianti di casa",""
23212040,71260,"Haustechnikinstallateur (ohne nähere Angaben) | Haustechnikinstallateurin (ohne nähere Angaben)","","Installateur en technique du bâtiment (sans indication particulière) | Installatrice en technique du bâtiment (sans indication particulière)","Installatore d'impianti domestici (senza altre indicazioni) | Installatrice d'impianti domestici (senza altre indicazioni)",""
23212041,71190,"Altbaurenovierer | Altbaurenoviererin","","Rénovateur en bâtiment | Rénovatrice en bâtiment","Restauratore edile | Restauratrice edile",""
23212042,71190,"Altbausanierer | Altbausaniererin","","Rénovateur en bâtiment | Rénovatrice en bâtiment","Restauratore edile | Restauratrice edile",""
23212043,71190,"Wasserschadensanierer | Wasserschadensaniererin","","Spécialiste pour l'assainissement des dégâts causés par l'eau","Risanatore di danni provocati dall'acqua | Risanatrice di danni provocati dall'acqua",""
23212044,71330,"Fassadenreiniger | Fassadenreinigerin","","Nettoyeur de façades | Nettoyeuse de façades","Pulitore di facciate | Pulitrice di facciate",""
23212045,71220,"Hohlbodenmonteur | Hohlbodenmonteurin","","Monteur de faux-planchers | Monteuse de faux-planchers","Montatore di pavimenti galleggianti | Montatrice di pavimenti galleggianti",""
23212046,71220,"Doppelbodenmonteur | Doppelbodenmonteurin","","Monteur de doubles sols | Monteuse de doubles sols","Montatore di doppi pavimenti | Montatrice di doppi pavimenti",""
23212047,71260,"Haustechnikpraktiker EBA | Haustechnikpraktikerin EBA","","Aide en technique du bâtiment AFP","Addetto alla tecnica della costruzione CFP | Addetta alla tecnica della costruzione CFP",""
23212048,93132,"Baufacharbeiter (Ausbau) | Baufacharbeiterin (Ausbau)","","Travailleur spécialisé de la construction, aménagement | Travailleuse spécialisée de la construction, aménagement","Operaio specializzato nell'edilizia, arredamento | Operaia specializzata nell'edilizia, arredamento",""
23212049,71241,"Polybauer EFZ, Fassadenbau | Polybauerin EFZ, Fassadenbau","","Polybâtisseur CFC, construction de façades | Polybâtisseuse CFC, construction de façades","Policostruttore AFC, costruzione di facciate | Policostruttrice AFC, costruzione di facciate",""
23212050,71153,"Polybauer EFZ, Sonnenschutz-Systeme | Polybauerin EFZ, Sonnenschutz-Systeme","","Polybâtisseur CFC, systèmes de protection solaire | Polybâtisseuse CFC, systèmes de protection solaire","Policostruttore AFC, sistemi per la protezione solare | Policostruttrice AFC, sistemi per la protezione solare",""
23212051,71241,"Polybaupraktiker EBA, Fassadenbau | Polybaupraktikerin EBA, Fassadenbau","","Aide-polybâtisseur AFP, construction de façades | Aide-polybâtisseuse AFP, construction de façades","Addetto alle policostruzioni CFP, costruzione di facciate | Addetta alle policostruzioni CFP, costruzione di facciate",""
23212052,71153,"Polybaupraktiker EBA, Sonnenschutz-Systeme | Polybaupraktikerin EBA, Sonnenschutz-Systeme","","Aide-polybâtisseur AFP, systèmes de protection solaire | Aide-polybâtisseuse AFP, systèmes de protection solaire","Addetto alle policostruzioni CFP, sistemi di protezione solare | Addetta alle policostruzioni CFP, sistemi di protezione solare",""
23212053,13232,"Polybau-Meister HFP | Polybau-Meisterin HFP","","Maître Polybat EPS","Maestro Policos EPS | Maestra Policos EPS",""
23212054,31232,"Polybau-Polier, eidg. FA | Polybau-Polierin, eidg. FA","","Contremaître Polybat, brev. féd. EP | Contremaîtresse Polybat, brev. féd. EP","Capomastro Policos APF",""
23212055,31232,"Polybau-Polier, eidg. FA, Fassade | Polybau-Polierin, eidg. FA, Fassade","","Contremaître Polybat, brev. féd. EP, façades | Contremaîtresse Polybat, brev. féd. EP, façades","Capomastro Policos APF, facciata",""
23212056,31232,"Polybau-Polier, eidg. FA, Administration | Polybau-Polierin, eidg. FA, Administration","","Contremaître Polybat, brev. féd. EP, administration | Contremaîtresse Polybat, brev. féd. EP, administration","Capomastro Policos APF, amministrazione",""
23212057,71200,"Polybauer EFZ | Polybauerin EFZ","","Polybâtisseur CFC | Polybâtisseuse CFC","Policostruttore AFC | Policostruttrice AFC",""
23212058,71200,"Polybaupraktiker EBA | Polybaupraktikerin EBA","","Aide-polybâtisseur AFP | Aide-polybâtisseuse AFP","Addetto alle policostruzioni CFP | Addetta alle policostruzioni CFP",""
23212059,31122,"Projektleiter Gebäudetechnik, eidg. FA | Projektleiterin Gebäudetechnik, eidg. FA","","Chef de projet en technique du bâtiment, brev. féd. EP | Cheffe de projet en technique du bâtiment, brev. féd. EP","Capoprogetto nella tecnica della costruzione APF",""
23212060,71153,"Storenbauer | Storenbauerin","","Storiste","Fabbricante di tende avvolgibili",""
23212061,71153,"Storenfachmann | Storenfachfrau","","Spécialiste de stores","Specialista di tende avvolgibili",""
23212062,71153,"Garagentormonteur | Garagentormonteurin","","Monteur de portes de garage | Monteuse de portes de garage","Montatore di porte da garage | Montatrice di porte da garage",""
23212063,71241,"Gebäudehüllenspezialist | Gebäudehüllenspezialistin","","Spécialiste de l'enveloppe des édifices","Specialista dell'involucro edilizio",""
24101001,93110,"Bergarbeiter | Bergarbeiterin","","Ouvrier de mine | Ouvrière de mine","Minatore (industria estrattiva) | Minatrice (industria estrattiva)",""
24101002,93110,"Kohlenhauer | Kohlenhauerin","","Houilleur | Houilleuse","Carboniere | Carboniera",""
24101003,75420,"Bergbaumineur | Bergbaumineurin","","Chargeur d'explosifs, mineur | Chargeuse d'explosifs, mineuse","Minatore brillatore di mine (industria estrattiva) | Minatrice brillatrice di mine (industria estrattiva)",""
24101004,81110,"Bergmann","Miner","Mineur de fond | Mineuse de fond","Minatore di galleria (industria estrattiva) | Minatrice di galleria (industria estrattiva)",""
24101005,81110,"Hauer-Zimmermann | Hauerin-Zimmerin","","Mineur-piqueur boiseur | Mineuse-piqueuse boiseuse","Minatore picconiere (industria estrattiva) | Minatrice picconiera (industria estrattiva)",""
24101006,93110,"Kohlenbergwerkarbeiter | Kohlenbergwerkarbeiterin","","Ouvrier de mine de charbon | Ouvrière de mine de charbon","Operaio di miniera di carbone | Operaia di miniera di carbone",""
24101007,93110,"Bergwerkarbeiter | Bergwerkarbeiterin","Pit worker","Ouvrier de mine | Ouvrière de mine","Minatore (industria estrattiva) | Minatrice (industria estrattiva)",""
24101008,93110,"Eisenbergwerkarbeiter | Eisenbergwerkarbeiterin","","Ouvrier de mine de fer | Ouvrière de mine de fer","Operaio di miniera di ferro | Operaia di miniera di ferro",""
24101009,83421,"Stollenhauer | Stollenhauerin","","Perceur de galeries | Perceuse de galeries","Scavatore di gallerie | Scavatrice di gallerie",""
24101010,81110,"Erzhauer | Erzhauerin","","Piqueur-haveur | Piqueuse-haveuse","Picconiere | Picconiera",""
24101011,81130,"Bergbaubohrer | Bergbaubohrerin","Mining driller","Foreur dans une exploitation minière | Foreuse dans une exploitation minière","Scandagliatore minerario | Scandagliatrice mineraria",""
24101012,81110,"Bergwerker | Bergwerkerin","","Mineur de fond | Mineuse de fond","Minatore (industria estrattiva) | Minatrice (industria estrattiva)",""
24102001,81110,"Brechwerkmaschinist | Brechwerkmaschinistin","","Ouvrier-carrier sur machine | Ouvrière-carrière sur machine","Macchinista di frantoio-frantoista",""
24102002,75420,"Steinsprenger | Steinsprengerin","","Carrier-artificier | Carrière-artificière","Cavatore esplosivista | Cavatrice esplosivista",""
24102003,81110,"Glassandgräber | Glassandgräberin","","Extracteur de sable pour verrerie | Extractrice de sable pour verrerie","Estrattore di sabbia per industria vetraria | Estrattrice di sabbia per industria vetraria",""
24102004,81110,"Steinbrecher | Steinbrecherin","Quarry-worker","Carrier | Carrière","Cavapietre",""
24102005,93110,"Brecherbediener | Brecherbedienerin","","Ouvrier fendeur | Ouvrière fendeuse","Aiuto fendipietre",""
24102006,71130,"Mosaiksteinmacher | Mosaiksteinmacherin","","Ouvrier à la fabrication de pierres de mosaïque | Ouvrière à la fabrication de pierres de mosaïque","Mosaicista cavatore | Mosaicista cavatrice",""
24102007,75420,"Absprenger | Absprengerin","","Carrier-artificier | Carrière-artificière","Cavatore esplosivista | Cavatrice esplosivista",""
24102008,83421,"Bohrspezialist | Bohrspezialistin","Drilling specialist","Spécialiste foreur | Spécialiste foreuse","Specialista perforatore | Specialista perforatrice",""
24102009,71130,"Steinklopfer | Steinklopferin","","Casseur de pierres | Casseuse de pierres","Pietriscante",""
24102010,81110,"Handbrecher | Handbrecherin","","Piqueur à la main | Piqueuse à la main","Spaccapietre a mano",""
24102011,81110,"Schieferbrecher | Schieferbrecherin","","Piqueur d'ardoise | Piqueuse d'ardoise","Tagliatore di ardesia | Tagliatrice di ardesia",""
24102012,81110,"Plattenbrecher | Plattenbrecherin","","Piqueur de dalles | Piqueuse de dalles","Spaccalastre",""
24102013,81110,"Handspalter | Handspalterin","","Fendeur à la main | Fendeuse à la main","Tagliatore a mano | Tagliatrice a mano",""
24102014,13220,"Steinbruchleiter | Steinbruchleiterin","Quarry manager","Chef de carrière | Cheffe de carrière","Cavista",""
24102015,93110,"Marmorbrucharbeiter | Marmorbrucharbeiterin","","Ouvrier dans une carrière de marbre | Ouvrière dans une carrière de marbre","Cavatore di marmo | Cavatrice di marmo",""
24102016,93110,"Steinbrucharbeiter | Steinbrucharbeiterin","Quarry worker","Ouvrier carrier | Ouvrière carrière","Operaio di cava | Operaia di cava",""
24103001,93110,"Kiesarbeiter | Kiesarbeiterin","","Ouvrier de gravière | Ouvrière de gravière","Ghiaiaio | Ghiaiaia",""
24103002,81120,"Sandbrecher | Sandbrecherin","","Broyeur de sable (à la mine) | Broyeuse de sable (à la mine)","Frantumatore di sabbia | Frantumatrice di sabbia",""
24103003,81120,"Torfballenpresser | Torfballenpresserin","","Presseur de balles de tourbe | Presseuse de balles de tourbe","Pressatore di balle di torba | Pressatrice di balle di torba",""
24103004,81110,"Kiesrüster | Kiesrüsterin","","Apprêteur dans une gravière-sablière | Apprêteuse dans une gravière-sablière","Ghiaiaio | Ghiaiaia",""
24103005,81120,"Torfbäcker | Torfbäckerin","","Cuiseur de tourbe | Cuiseuse de tourbe","Cuocitore di torba | Cuocitrice di torba",""
24103006,93110,"Lettengräber | Lettengräberin","","Ouvrier de carrière d'argile | Ouvrière de carrière d'argile","Cavatore di argilla | Cavatrice di argilla",""
24103007,81110,"Lehmgrubenarbeiter | Lehmgrubenarbeiterin","","Ouvrier de glaisière | Ouvrière de glaisière","Operaio di cava d'argilla | Operaia di cava d'argilla",""
24103008,93110,"Sandgrubenarbeiter | Sandgrubenarbeiterin","","Ouvrier de sablière | Ouvrière de sablière","Sabbiaio | Sabbiaia",""
24103009,93110,"Porzellanerdegräber | Porzellanerdegräberin","","Ouvrier de mine de kaolin | Ouvrière de mine de kaolin","Cavatore di caolino | Cavatrice di caolino",""
24103010,93110,"Kieswerkarbeiter | Kieswerkarbeiterin","Gravel plant worker","Ouvrier de gravière | Ouvrière de gravière","Ghiaiaio | Ghiaiaia",""
24103011,93110,"Kiesgrubenarbeiter | Kiesgrubenarbeiterin","Gravel pit worker","Ouvrier du fond dans une gravière | Ouvrière du fond dans une gravière","Ghiaiaio | Ghiaiaia",""
24103012,81110,"Tongräber | Tongräberin","","Piqueur d'argile | Piqueuse d'argile","Renaiolo | Renaiola",""
24103013,81110,"Grubenschürfer | Grubenschürferin","","Prospecteur de carrière | Prospectrice de carrière","Sondatore di miniere | Sondatrice di miniere",""
24103014,13220,"Kiesgrubenleiter | Kiesgrubenleiterin","Gravel pit manager","Chef de gravière | Cheffe de gravière","Capo cava di ghiaia",""
24103015,93290,"Brikettarbeiter | Brikettarbeiterin","","Ouvrier à la fabrication de briquettes | Ouvrière à la fabrication de briquettes","Mattonellaio | Mattonellaia",""
24103016,81120,"Sandmüller | Sandmüllerin","","Broyeur de sable (préparateur des minerais) | Broyeuse de sable (préparateur des minerais)","Sabbionaio | Sabbionaia",""
24103017,81110,"Bergkristallsucher | Bergkristallsucherin","","Chercheur de cristal de roche | Chercheuse de cristal de roche","Cercatore di cristalli | Cercatrice di cristalli",""
24103018,81110,"Strahler | Strahlerin","","Chercheur de cristaux | Chercheuse de cristaux","Cercatore di cristalli | Cercatrice di cristalli",""
24103019,93110,"Salinenarbeiter | Salinenarbeiterin","","Ouvrier de saline | Ouvrière de saline","Salinaro | Salinara",""
24103020,81110,"Torfstecher | Torfstecherin","","Tourbier | Tourbière","Torbiere | Torbiera",""
24103021,83410,"Torfmaschinenführer | Torfmaschinenführerin","","Conducteur de machine de tourbière | Conductrice de machine de tourbière","Conducente di macchine di torbiera",""
24103022,31210,"Grubenmeister | Grubenmeisterin","","Chef de mine | Cheffe de mine","Capomastro di miniera (industria estrattiva)",""
24103023,81110,"Förderer | Förderin","","Extracteur (carrière, mine) | Extractrice (carrière, mine)","Estrattore (minatori e cavatori) | Estrattrice (minatori e cavatori)",""
24103024,81130,"Erdölgewinner | Erdölgewinnerin","","Ouvrier à l'extraction du pétrole | Ouvrière à l'extraction du pétrole","Petroliere | Petroliera",""
24103025,81110,"Steinbruchmineur | Steinbruchmineurin","","Mineur de carrière | Mineuse de carrière","Minatore di cava (industria estrattiva) | Minatrice di cava (industria estrattiva)",""
24103026,81120,"Kiesbrecher | Kiesbrecherin","","Broyeur de gravier | Broyeuse de gravier","Frantumatore di ghiaia | Frantumatrice di ghiaia",""
24103027,81120,"Bimssteinsieber | Bimssteinsieberin","","Cribleur de pierre ponce | Cribleuse de pierre ponce","Setacciatore di pietra pomice | Setacciatrice di pietra pomice",""
24103028,81120,"Rohmüller | Rohmüllerin","","Broyeur de matériaux bruts | Broyeuse de matériaux bruts","Frantumatore | Frantumatrice",""
24103029,81120,"Gipsmüller | Gipsmüllerin","Plaster miller","Broyeur de plâtre | Broyeuse de plâtre","Gessaiolo | Gessaiola",""
24103030,93110,"Quarzwerkarbeiter | Quarzwerkarbeiterin","","Ouvrier dans une mine de quartz | Ouvrière dans une mine de quartz","Operaio di miniera di quarzo | Operaia di miniera di quarzo",""
